Sl. No.,State,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23 (till 10th March 2023)
1,Andhra Pradesh,29001.25,32787.03,28242.39,24460.59,35385.83,38176.74
2,Arunachal Pradesh,9238.79,10436.14,8987.57,10472.58,14643.9,16689.17
3,Assam,22301.52,25215.85,21721.44,18629.32,28150.55,29694.26
4,Bihar,65083.19,73602.96,63406.33,59861.41,91352.62,95509.85
5,Chhattisgarh,20754.83,23458.69,20205.84,20337.54,28570.86,32358.26
6,Goa,2544.27,2878.36,2479.85,2296.53,3356.98,3665.19
7,Gujarat,20782.34,23489.32,20232.09,20218.53,31105.78,33034
8,Haryana,7297.53,8254.6,7111.53,6437.59,9722.16,10378
9,Himachal Pradesh,4801.27,5429.77,4677.56,4753.92,7349.04,7883.98
10,Jammu & Kashmir,11911.66,13989.8,6801.81,0,0,0
11,Jharkhand,21143.64,23906.13,20593.04,19712.23,27734.64,31404.12
12,Karnataka,31751.99,35894.83,30919,21694.11,33283.58,34596.18
13,Kerala,16833.07,19038.17,16401.05,11560.4,17820.09,18260.68
14,Madhya Pradesh,50853.06,57486.87,49517.61,46922.16,69541.5,74542.85
15,Maharashtra,37203.32,42050.43,36219.64,36504.01,54318.06,60000.98
16,Manipur,4154.29,4698.59,4047.77,4271.97,6009.65,6795.08
17,Meghalaya,4323.15,4889.07,4211.78,4551.63,6580.63,7286.14
18,Mizoram,3097.04,3502.96,3017.8,3010.55,4222.87,4745.25
19,Nagaland,3353.09,3792.41,3267.08,3409.25,4875.46,5400.19
20,Odisha,31272.03,35353.73,30453.25,27542.67,38144.79,42989.33
21,Punjab,10616.96,12008.95,10345.78,10638.21,15288.79,17163.65
22,Rajasthan,37028.03,41852.35,36049.14,35575.77,54030.61,57230.78
23,Sikkim,2470.52,2794.67,2407.69,2308.47,3353.69,3680.28
24,Tamil Nadu,27099.72,30638.87,26392.4,24924.51,37458.6,38731.24
25,Telangana,16420.06,18560.88,15987.59,12691.62,18720.54,19668.15
26,Tripura,4322.54,4888.95,4211.78,4218.45,6077.52,6724.23
27,Uttar Pradesh,120940.1,136766.46,117818.3,106687.01,160358.05,169745.3
28,Uttarakhand,7084.9,8011.59,6901.54,6568.72,9906.25,10617.01
29,West Bengal,49321.13,55775.72,48048.4,44737.01,65540.75,71434.93
Total,Total,673005.29,761454.15,650677.05,594996.76,882903.79,948405.82
